x_acc,y_acc,z_acc,time
-0.17817259,0.011929512,0.44575715,1694884527682
-0.31763744,1.0294571,0.89357257,1694884527721
0.040049076,0.35855865,0.41158795,1694884527766
0.10094786,0.9146447,0.62338805,1694884527817
-0.14776945,-0.34879208,1.0554101,1694884527868
-1.0470581,-1.6572542,0.8566973,1694884527921
-0.3923483,-1.3194113,2.047681,1694884527974
-2.2178779,0.95286846,2.4831603,1694884528026
-3.3175206,3.2796092,-1.0064445,1694884528076
-0.8793721,4.2601748,-4.4089346,1694884528126
1.9259713,1.2848663,-3.0547059,1694884528179
-2.744884,3.4647608,-9.50629,1694884528231
-0.564641,-0.7370367,-3.2419999,1694884528284
-0.28253222,0.29733086,-2.5257607,1694884528337
1.6898608,-4.7317696,-1.441183,1694884528389
1.2884686,-2.999446,1.1374092,1694884528441
-0.7572048,-3.2695293,-0.28365943,1694884528493
0.3377726,-2.2392406,-0.5524028,1694884528542
0.78889716,0.7486782,0.4572284,1694884528595
0.718415,-0.5730686,0.010574162,1694884528648
2.3163385,-0.20506668,0.24530368,1694884528702
0.5393127,-0.059926033,1.0282581,1694884528751
-2.298813,0.6233225,1.1471447,1694884528800
-1.5607779,0.91246986,0.06407842,1694884528853
-0.7847413,0.8336811,0.8899211,1694884528906
-2.8233223,0.49775505,2.1802151,1694884528958
-1.951456,0.17281055,3.239333,1694884529008
-1.7964079,-1.6951113,1.0589622,1694884529059
-1.7161856,-5.7030287,2.6391947,1694884529110
3.1862438,-4.697155,1.7682126,1694884529163
7.3119707,-5.197585,-7.3366885,1694884529215
2.5856645,-0.9670973,-3.8491096,1694884529269
-0.6727133,3.198616,-4.6806483,1694884529320
1.7717056,3.7657151,-3.7678065,1694884529373
2.5906734,3.641089,-1.5020328,1694884529424
1.6934814,3.202167,1.4926717,1694884529476
-2.828421,-4.5462885,8.031185,1694884529529
-3.9117956,-8.335166,3.9131308,1694884529579
2.960163,8.305739,0.3126545,1694884529629
3.5145924,-10.684439,-1.7116749,1694884529680
2.3990393,5.3272724,-6.4136095,1694884529731
-7.6375766,-2.7514038,-3.7443676,1694884529784
-7.9874754,-3.4457626,-0.95727193,1694884529838
6.0710692,1.9917259,-0.6553397,1694884529893
2.4483318,0.92451096,0.17348945,1694884529942
-1.9979678,0.07509422,0.3710314,1694884529992
-2.9339066,0.27637386,0.62486917,1694884530045
-0.7391377,0.72120476,1.1496449,1694884530096
0.96602035,0.5685339,1.0748531,1694884530148
-0.11163536,-2.2518911,1.386604,1694884530200
-3.5507565,-1.8407116,1.2661855,1694884530252
-0.49333447,-3.5189447,5.6305776,1694884530304
-7.0809913,-0.6983185,-0.43011603,1694884530355
4.2400107,-3.664525,-0.88679767,1694884530408
2.19439,-4.731127,-5.475623,1694884530459
-1.5113297,-1.207015,-3.0816536,1694884530513
-0.8912864,-0.12736607,-3.4808605,1694884530569
1.7815995,2.2839212,-4.3682384,1694884530615
2.5041175,3.0196824,-3.832008,1694884530666
2.124705,3.5020523,-3.413445,1694884530718
2.675707,3.150895,2.013552,1694884530771
-3.6233788,-5.7655983,11.203853,1694884530822
-5.285368,-10.134257,2.3843472,1694884530873
2.7500968,5.692356,1.8505654,1694884530925
0.3010413,-9.68176,-4.8916817,1694884530978
9.623235,4.7005806,-3.5435472,1694884531029
-0.37007952,2.6913137,-7.7563133,1694884531081
-4.24304,-9.005323,-2.1125884,1694884531132
4.515031,4.1464057,2.6939442,1694884531193
-0.16167903,4.3511806,1.0929649,1694884531233
-3.13912,-0.66132164,0.21426499,1694884531285
1.6068145,-1.3555403,4.9272156,1694884531338
-2.280338,0.35585308,-0.52005625,1694884531392
-0.067150176,-2.6363535,4.016007,1694884531443
-5.220586,-2.3201551,2.1991196,1694884531494
-0.46936473,-3.8332663,3.9792995,1694884531547
-3.2235153,-0.6665096,-0.41402233,1694884531598
5.453184,-5.4236574,-4.682675,1694884531651
3.8804157,-4.8333235,-1.281308,1694884531705
0.94789654,0.32218742,-1.7122521,1694884531760
-0.09414258,3.2940378,-4.10101,1694884531810
0.5429946,3.9990015,-4.134784,1694884531861
0.8774526,5.13931,-5.500186,1694884531913
1.014683,5.805373,-2.9194036,1694884531966
3.2392561,-9.521341,14.5723095,1694884532018
-2.741108,-9.591449,4.227211,1694884532069
-1.5608191,12.399321,1.4039416,1694884532119
4.683422,-9.12326,-3.932908,1694884532170
2.989406,5.6000195,-6.87556,1694884532222
3.1889725,2.769301,-6.6813583,1694884532274
-0.71491253,-6.53897,0.36570418,1694884532327
-0.47790372,3.4977164,1.5090501,1694884532382
-3.3095825,0.60532,0.9186351,1694884532433
-0.43495816,-0.91963863,1.5620856,1694884532483
1.47852,1.9578018,2.6015334,1694884532535
-1.7776053,-1.0840139,-0.4861356,1694884532589
-0.19666934,-1.374753,4.155548,1694884532637
-4.8595047,-1.8928947,2.0302403,1694884532690
0.56021655,-3.2701015,4.119063,1694884532742
