x_acc,y_acc,z_acc,time
-0.23434806,-0.020451546,0.37404144,1694884573525
-0.23972726,0.18439674,0.39087462,1694884573561
-0.19129705,0.13514614,0.21113837,1694884573604
-0.28994823,-0.08664322,0.116637826,1694884573656
-0.17998719,-0.13681793,0.26538777,1694884573708
-0.29447985,0.03172016,0.4376148,1694884573758
-0.68483496,0.2494049,0.6411785,1694884573812
-1.0347562,0.49403572,0.3208015,1694884573862
-1.3504655,-0.26816177,0.048770547,1694884573915
0.30957747,-0.64159584,1.2774982,1694884573967
-0.23131895,1.019227,0.29894412,1694884574017
-0.48095703,0.9633026,0.6558882,1694884574071
0.14113712,0.94389343,0.9189815,1694884574121
0.89754,3.227007,0.62283933,1694884574169
-0.29336548,4.845345,-0.7678288,1694884574221
-0.9207556,-0.122364044,-0.26622617,1694884574274
-2.577168,-9.021273,1.0007738,1694884574326
-1.5463014,-2.6973228,0.29630268,1694884574377
-3.5346873,-1.9081097,-0.0683741,1694884574428
-1.7124841,0.5250387,1.4143344,1694884574481
0.13251781,-0.20051861,0.45796967,1694884574533
1.6174681,-2.605567,2.425901,1694884574583
4.024856,-25.048391,-4.183417,1694884574635
1.5563631,-0.07181263,-1.6247795,1694884574688
1.3751975,3.556754,-5.0291057,1694884574738
2.783537,2.5666032,-4.3119135,1694884574787
1.3813301,4.336532,-2.470827,1694884574840
1.0427105,4.423249,0.25495243,1694884574893
-2.156094,-9.038132,9.753971,1694884574944
3.2890372,-0.12852955,-0.56833076,1694884574997
4.776328,-0.18862247,1.5185804,1694884575048
7.862095,-4.7341995,-4.347021,1694884575098
-1.1619005,2.9634013,-7.6801577,1694884575149
-5.9714823,-5.0656404,-0.16608179,1694884575201
-2.0901635,3.015747,1.6206644,1694884575253
3.0259352,3.9091053,1.6749907,1694884575302
-3.0095031,-0.37297344,0.48190087,1694884575353
-0.6705603,0.76155376,4.0707555,1694884575402
-1.9489477,-1.125268,2.1127558,1694884575455
-4.7671833,-1.2991467,1.6490357,1694884575509
0.704426,-5.7939425,4.769331,1694884575560
-5.3230524,-5.1950226,3.7923064,1694884575612
-6.9795556,-0.26837635,-5.5257015,1694884575662
1.5969778,-8.135551,-3.3641284,1694884575715
5.677713,-2.3300076,-1.5650644,1694884575763
-2.9353127,3.1210365,-4.6475916,1694884575815
-1.0872126,5.6723585,-6.554962,1694884575865
3.4232478,4.659216,-7.483279,1694884575918
3.6863058,3.7941856,5.4791045,1694884575970
1.2852086,-8.907491,9.119217,1694884576020
-5.030562,-0.46598244,-1.9341245,1694884576070
9.032034,-8.534788,-10.432531,1694884576125
-0.19247255,2.4320793,-11.04322,1694884576176
-8.144325,-2.8983316,1.9677799,1694884576225
-2.197436,4.1911006,1.4833206,1694884576279
1.8314466,2.8587508,0.27279234,1694884576329
1.6306771,0.2990141,4.6716986,1694884576381
-5.674805,-3.6692257,7.80925,1694884576433
-7.4821696,-2.7718267,4.342709,1694884576482
-0.054416135,-3.9821815,6.8531756,1694884576533
5.078685,-10.189523,-10.253979,1694884576585
7.627935,-2.4583907,-4.920477,1694884576637
1.0750357,-1.3909225,-7.7201276,1694884576687
-0.69869137,-1.0933123,-7.8537045,1694884576739
1.924944,13.414434,-5.524965,1694884576791
-2.0542734,6.0911303,-1.5968602,1694884576841
2.6641822,-8.950578,1.3625996,1694884576894
4.2796116,-1.6301222,0.46862078,1694884576945
2.7461162,-0.73277664,-2.513029,1694884576999
-4.17855,-2.3074856,-11.735763,1694884577060
-1.4298205,7.448779,-7.0154085,1694884577101
0.25569052,-4.842679,8.209551,1694884577151
-0.062246203,0.3174057,1.0111603,1694884577202
-1.0189581,2.1516776,5.5200653,1694884577252
0.8601438,-1.1402292,-0.78964853,1694884577304
2.3896492,-0.46332264,-6.2971034,1694884577357
1.3843539,-7.069204,-1.6900101,1694884577410
-0.9560158,3.5084853,-2.5094616,1694884577462
0.30583704,5.5400963,-3.7062428,1694884577512
0.22582197,4.02084,-1.3729565,1694884577563
0.026601553,0.2074337,0.9991367,1694884577616
3.1246936,-2.377945,16.869652,1694884577668
1.7551178,-3.425187,-4.000511,1694884577720
-9.713159,-15.144288,9.162601,1694884577769
0.36384177,3.7545824,-3.413203,1694884577823
4.277143,-1.5743771,6.3117332,1694884577873
-2.992792,-0.5443058,1.2766498,1694884577928
-4.318906,2.7854443,2.9970045,1694884577980
-2.0619845,2.5294452,4.4377437,1694884578031
3.4986525,-3.208992,1.4228745,1694884578083
4.7043486,-6.6739545,-2.914962,1694884578130
4.179753,-11.493276,-0.50654984,1694884578181
0.7594563,2.7935185,-4.208188,1694884578233
0.9068608,4.9110622,-3.997836,1694884578284
1.0386536,4.6724257,-2.8161974,1694884578337
-1.8769736,3.8838391,-0.31708503,1694884578387
-4.3112416,0.13735104,0.2885939,1694884578441
4.0733094,-1.8638859,15.895904,1694884578490
1.4173509,3.3615413,-10.084094,1694884578542
1.0189946,-6.361745,0.008389354,1694884578595
-8.026255,-9.024346,9.770634,1694884578646
1.5665019,2.2525725,-1.3422143,1694884578697
0.5194261,1.5060844,0.2382276,1694884578750
-1.9022373,0.4699726,2.623024,1694884578801
-1.8787012,2.054655,4.7721043,1694884578853
-2.0841842,-0.6829071,2.6288042,1694884578902
4.6066027,-4.6001225,-2.864036,1694884578954
4.5140963,-3.990346,-0.052556038,1694884579006
-0.93507063,-4.972295,-0.7454815,1694884579057
-0.46184123,3.0114613,-4.391139,1694884579106
0.50178146,5.020754,-3.294831,1694884579161
-1.7978603,5.9570513,-0.8506012,1694884579214
