x_acc,y_acc,z_acc,time
-0.45101178,0.63559467,-3.5136366,1694887962190
0.58628553,0.25029737,-1.9341283,1694887962260
0.5067892,-0.47389817,-0.34083843,1694887962275
-0.6360223,-1.5519987,1.7643709,1694887962330
-0.12459719,-2.6217794,2.6280031,1694887962384
-0.569855,-1.6842498,1.8291903,1694887962436
0.28983188,-0.32254848,0.92957973,1694887962489
0.9552353,-0.09346008,-2.1696014,1694887962543
-0.28315568,0.116563454,-2.5274997,1694887962595
-1.2993035,0.35689378,-1.9302416,1694887962651
-0.6513875,0.41289318,-1.3657236,1694887962705
-0.56170624,0.8372748,-1.3253574,1694887962756
2.0958085,0.7443308,-1.3995571,1694887962807
4.364558,-0.4128754,3.8794556,1694887962861
4.5843554,-0.40732443,3.8968039,1694887962912
-0.0912531,-1.1597226,1.7386436,1694887962966
-0.045594335,-1.0202923,1.7764864,1694887963020
1.5148933,0.67087615,2.6068249,1694887963074
-1.2635491,-2.3862524,0.45359707,1694887963124
-2.2409282,-0.68471265,-2.1108599,1694887963179
-1.5894904,-0.56281805,-1.6733122,1694887963229
-1.7264094,0.7556689,-0.9484782,1694887963285
0.74499035,1.4197996,-0.37265825,1694887963336
1.9168239,-0.48202324,-0.053546906,1694887963390
3.5463269,-3.3915539,-0.9299092,1694887963438
3.4417226,-2.1174288,0.31968236,1694887963494
-4.1554546,-0.7246361,-0.3592888,1694887963542
-4.6462708,-0.66486454,-0.46247482,1694887963596
-2.9318552,-0.7223172,-2.4401975,1694887963649
-2.603437,-1.1049552,-2.6031432,1694887963702
0.35140467,-0.2009964,-0.5951104,1694887963754
0.659081,0.36763144,-0.8793727,1694887963808
0.8570752,0.10534954,-0.74884766,1694887963862
1.1265402,1.4428909,-0.8127688,1694887963916
5.131092,0.9741075,1.4105211,1694887963968
1.1166182,-0.6601424,-1.176091,1694887964019
-3.4124613,-1.7982688,-2.828607,1694887964072
-3.506524,-1.7188387,-3.1140358,1694887964122
-0.4373393,-0.44682217,-3.5351224,1694887964175
0.7473378,-0.35567188,-1.7780309,1694887964228
0.16383886,0.23239517,-1.310136,1694887964284
-4.3511286,1.4482579,-1.8452626,1694887964336
-2.3578773,-0.4520054,-0.8652789,1694887964388
-3.023634,0.516119,-2.201003,1694887964441
6.896101,2.7364426,1.7727718,1694887964494
6.950532,2.6614518,1.8501663,1694887964547
10.427364,-3.573811,-0.31647965,1694887964601
-11.234808,-5.5271225,-1.2517722,1694887964652
-11.568149,-5.433981,-2.026746,1694887964705
-0.24756289,-0.21887302,-0.39054918,1694887964758
1.516967,-4.4219856,-3.0279937,1694887964810
1.1064084,-4.364373,-3.4646287,1694887964863
0.88361645,0.16194057,-1.6768913,1694887964918
1.2800729,1.9506941,-0.3437984,1694887964970
2.5994158,-0.59429264,2.5355854,1694887965022
-0.25705385,-4.2178593,3.7722466,1694887965075
0.671787,0.6682558,1.7303181,1694887965126
0.5783322,0.63554287,1.5743091,1694887965181
2.6130447,-0.34467506,-1.3007617,1694887965235
0.374295,4.739013,-6.001132,1694887965288
0.46627522,5.011129,-5.0106983,1694887965340
0.84955525,0.48518658,0.003022194,1694887965394
0.5387726,0.6672468,0.64580864,1694887965448
0.17761421,-0.2536192,0.54763275,1694887965499
-1.2918378,-0.31194496,0.59022874,1694887965550
-2.0180688,-2.0070639,1.540813,1694887965603
-0.9688251,0.864871,0.020911932,1694887965655
-1.021918,0.8485918,0.29026896,1694887965738
-0.99818826,-1.0985518,0.3061515,1694887965760
-0.88305664,-1.118743,0.37779975,1694887965814
-7.684546,-3.3898954,1.44742,1694887965869
-7.238881,-3.4800253,0.07891047,1694887965920
4.333276,-2.243991,-0.98768663,1694887965974
-3.7991457,-4.707139,-2.7645583,1694887966027
-0.6083181,0.7864809,-4.381019,1694887966078
2.7928944,1.4549417,-3.9304852,1694887966131
3.058396,1.3735223,-3.6368353,1694887966185
2.8465772,1.5212779,-3.4392967,1694887966238
3.1629953,3.2502613,-1.2529182,1694887966289
-2.0531535,-5.4105854,5.966888,1694887966348
-1.7630732,-0.9900446,1.6025367,1694887966394
2.654585,3.9665093,3.9749517,1694887966447
-2.4698248,-7.6608906,-4.660651,1694887966501
7.5007305,3.7700648,-4.785785,1694887966554
-0.32082474,0.0011968613,-7.0461497,1694887966607
-0.95959514,0.33132648,-5.9634037,1694887966659
3.6977854,2.5015717,1.5972757,1694887966712
-0.9935621,1.5976562,0.07489209,1694887966765
-1.2516235,0.116233826,1.3294775,1694887966818
-0.22910646,0.52307606,1.2800269,1694887966869
-0.3584249,0.48919868,1.5905833,1694887966922
-1.8734744,-0.5879803,2.645016,1694887966973
-4.479132,-0.801486,-0.51966476,1694887967024
-4.2141933,-0.8196497,-0.46619737,1694887967078
-4.2619305,-3.9734726,3.1879518,1694887967131
-1.7721047,0.28703117,-0.0020718277,1694887967182
7.0759544,-5.259678,-3.4561546,1694887967237
0.77690315,-2.5852966,-1.96965,1694887967288
0.75991774,-2.774228,-2.6672506,1694887967340
1.9637915,2.667295,-3.0500512,1694887967395
2.8021703,3.0994353,-3.573455,1694887967449
2.5643868,3.1581502,-3.5407226,1694887967501
2.0796015,4.252349,0.5963309,1694887967551
1.583955,4.486309,1.1694458,1694887967604
-2.772399,-2.1871204,10.091851,1694887967654
-1.8739401,-8.771445,2.597688,1694887967708
0.07008529,-9.625696,-7.4310365,1694887967762
0.036547482,-9.522374,-7.175192,1694887967813
3.4599898,3.8673825,-3.6369252,1694887967866
-4.713525,-2.1979494,-1.7142336,1694887967921
-4.5977335,-2.106059,-0.7486168,1694887967973
-1.2561892,1.3219538,-0.05446437,1694887968025
-1.282186,0.25167465,2.2556033,1694887968081
-0.6896155,0.13912392,1.8158252,1694887968130
-0.6035775,0.21135902,0.7670829,1694887968181
-0.72505534,0.16291523,1.0500804,1694887968234
-2.1840315,-0.8269844,1.9531622,1694887968285
1.5684034,-2.493456,4.824124,1694887968339
-5.273691,-3.7013788,3.49393,1694887968392
-2.542126,-0.83859825,0.35438758,1694887968446
8.277763,-4.93793,-3.7547913,1694887968499
2.4588356,-2.316493,0.56312084,1694887968550
-1.7080622,0.3165903,-2.1715536,1694887968602
0.28537136,2.595491,-2.3775837,1694887968656
0.3811745,2.440803,-2.7442796,1694887968710
1.0909295,3.6678715,-3.1482425,1694887968764
1.146436,4.9445653,-2.5031123,1694887968817
-0.83316815,-1.6351767,11.092358,1694887968869
-1.141815,-9.018991,4.2487116,1694887968920
1.3605814,12.414518,1.5902858,1694887968973
1.3427486,-10.772279,-7.7901278,1694887969025
2.5574212,3.5716715,-5.1232076,1694887969080
3.6582603,1.8401628,-4.4865494,1694887969131
2.9989662,1.9745698,-3.36986,1694887969182
-4.760355,-3.2433853,-1.8698418,1694887969237
-1.5142977,0.35602474,-0.11598849,1694887969288
-0.29490352,0.008202553,1.3285003,1694887969343
-1.831867,-0.29894733,2.293581,1694887969396
-1.3917438,0.7629881,-0.05591917,1694887969447
-0.8071116,-0.7290621,3.4665756,1694887969501
-4.596531,-0.28694344,-1.5536252,1694887969550
-4.3785257,-0.26739883,-1.5135124,1694887969602
-2.1013427,-3.616497,3.2325058,1694887969655
-4.468928,-3.1395884,2.2256682,1694887969708
4.737483,-1.3178473,-3.59836,1694887969760
4.659058,-1.4864607,-4.878558,1694887969814
3.2700272,-3.7420588,0.1899519,1694887969866
-0.66702104,1.039917,-2.5062094,1694887969921
1.4529732,3.8915606,-3.2740877,1694887969974
1.4849892,3.96917,-3.2700071,1694887970024
0.46516728,4.12028,-1.9107935,1694887970078
0.2474376,4.3905435,-1.0849917,1694887970130
-2.98213,-12.606218,11.117235,1694887970181
-2.7747953,-12.673629,10.742477,1694887970234
1.1473081,9.498268,-0.7755616,1694887970287
0.7696067,9.569324,-0.44590116,1694887970340
4.2851634,-12.133402,-2.3518536,1694887970393
3.9684396,6.660775,-4.0980015,1694887970445
-6.685315,-4.232646,-0.8786394,1694887970497
-6.4360614,-4.1458015,0.11106077,1694887970548
-1.3027308,0.100497246,0.5066586,1694887970603
-0.88469934,-0.14069939,1.608828,1694887970655
-1.150991,0.64748096,1.8460815,1694887970705
-2.6483917,-0.8745537,0.59420246,1694887970759
-3.0480747,-0.40229702,2.575932,1694887970811
-1.9867959,-1.9353323,-0.49699974,1694887970866
1.894996,-1.8004045,3.4557092,1694887970918
-2.900401,-4.873192,2.8661346,1694887970969
0.1827817,-0.6734257,1.1834354,1694887971020
0.5345183,-0.7190285,-0.42737895,1694887971072
0.6523066,-1.8614511,0.0733614,1694887971126
0.5199672,-2.1040316,-0.73276615,1694887971179
0.27696759,3.0803857,-2.3821945,1694887971231
0.2995054,2.932817,-2.7398982,1694887971285
0.043949902,4.153942,-2.5218782,1694887971336
-0.16608644,4.350013,-1.9747517,1694887971391
-0.45765215,0.37858772,4.744153,1694887971442
-0.6506904,0.41664696,5.0091295,1694887971491
-1.3753726,6.9210434,2.2684143,1694887971545
1.9690096,1.7685528,-2.62105,1694887971598
2.7377183,-11.002169,4.563116,1694887971649
6.625195,8.176446,-5.365234,1694887971703
6.0583954,8.383111,-4.2864137,1694887971754
-0.92134583,-3.1832533,-4.1860895,1694887971812
1.6122875,2.33396,0.062585264,1694887971866
-0.96989256,-0.53932667,0.25238794,1694887971918
-0.97139746,-0.57399845,0.71853304,1694887971969
-1.056356,0.25075626,2.078854,1694887972024
-1.1324574,0.21427631,2.2562711,1694887972075
-1.21469,-1.0813446,2.701417,1694887972128
-1.1911285,-1.0898094,2.776188,1694887972177
2.0704646,-1.896801,2.3086925,1694887972230
2.202393,-1.8494444,2.1372435,1694887972282
-4.1532393,-3.1958075,2.3262281,1694887972336
5.7790027,-0.772768,-2.2787073,1694887972387
7.0155954,-3.5056324,-0.21893346,1694887972440
-2.6590734,-1.5707731,-2.8064926,1694887972497
-2.6107326,-1.7702112,-3.3717506,1694887972551
-0.015740156,4.300314,-3.5913744,1694887972600
0.94585717,4.5129046,-1.6299305,1694887972655
0.42061687,4.013998,-0.60908675,1694887972707
-1.5775418,1.5997953,5.40668,1694887972759
-0.14442468,-13.086707,8.825644,1694887972811
0.045737743,-13.2659025,8.194658,1694887972864
0.25783157,3.4942722,1.4886675,1694887972915
-1.1160303,-5.6279154,-3.863854,1694887972968
-0.9351336,-5.461344,-3.5841475,1694887973022
-1.9466925,-2.171691,-5.665132,1694887973075
-2.0341203,-1.954277,-4.6966267,1694887973129
1.7688076,1.6086798,0.5936652,1694887973180
1.8504834,1.6617718,1.3964932,1694887973231
-0.94771934,0.35956478,1.80151,1694887973284
-1.1138744,0.069833755,0.6002883,1694887973338
-1.1366727,-0.32436848,2.023168,1694887973393
-1.7884318,-0.5871334,1.2478087,1694887973444
-1.7093811,-0.6066818,1.4746084,1694887973497
0.712662,-2.529253,1.087908,1694887973550
0.9295821,-2.5005903,1.138421,1694887973601
-5.7794957,-5.682111,3.5726657,1694887973651
-5.4809165,-5.569766,2.2884552,1694887973705
-1.5023217,-1.8292723,-2.5733814,1694887973757
1.4777888,-1.8176794,-1.43519,1694887973810
1.4713117,-2.0606375,-2.1918733,1694887973863
1.4428155,3.729745,-3.7524924,1694887973916
0.19346595,2.993785,-4.0918555,1694887973969
0.85887694,3.6817307,-1.9197438,1694887974018
0.6112027,3.8671756,-1.3553283,1694887974072
-1.7963085,-4.6599655,9.034736,1694887974126
-0.42336476,-4.214857,2.920784,1694887974176
1.9435096,8.137245,2.0730011,1694887974230
-0.39784002,-6.2161703,-4.3466315,1694887974282
3.0703902,1.1321936,-2.8404708,1694887974334
0.8524351,1.5621881,-5.11264,1694887974389
-4.265973,-4.826462,-3.073696,1694887974445
1.7054572,1.7234955,1.2438952,1694887974494
-1.237426,1.1434517,-0.15364656,1694887974548
-1.2048893,1.1089468,0.50301236,1694887974600
-0.9696115,0.052993774,2.2280128,1694887974652
-1.9993893,-0.68662834,1.6761338,1694887974708
