x_acc,y_acc,z_acc,time
-0.22363138,-0.20470333,-0.053884625,1694889550597
-0.024433613,9.7084045E-4,-0.0043177605,1694889550653
-0.05180359,-0.13981819,0.09202552,1694889550699
-0.068751335,-0.015485764,0.06144929,1694889550752
-0.025353909,-0.20183754,0.08418989,1694889550804
-0.014883041,0.0041856766,0.047062397,1694889550856
0.020834446,-0.18625832,0.06742144,1694889550909
-0.06257415,-0.06410122,-0.0545547,1694889550961
0.061139107,-0.09053707,0.09915495,1694889551014
0.011571407,-0.037774086,-0.10986316,1694889551066
0.034688473,-0.037721634,0.14763594,1694889551117
0.018022776,0.080355644,-0.08868933,1694889551168
-0.15303493,0.44092178,0.42318845,1694889551221
0.9622966,1.9030662,0.54604435,1694889551274
-0.09187126,-0.01337719,0.74379706,1694889551326
-0.3489914,-1.5297718,-1.0323504,1694889551376
0.014901876,1.3419714,0.39089632,1694889551428
1.8287418,0.98314285,1.8368261,1694889551480
-1.5014496,-3.1461744,-2.9631698,1694889551532
-1.9222939,1.3163166,1.0385597,1694889551584
0.43741894,-2.1705666,0.15008545,1694889551638
0.97101104,-1.6827927,-0.23590302,1694889551688
-0.17030048,-1.3309498,0.5733261,1694889551741
-1.0395314,-1.6014194,2.3986406,1694889551793
-0.575196,-0.5991039,0.07421076,1694889551844
-0.19660258,-1.7667685,0.2092129,1694889551898
0.6935782,-0.19711018,0.20625317,1694889551951
0.15569973,0.5355139,-0.25051033,1694889552004
1.3666615,-0.38871098,0.14949548,1694889552056
0.69621986,-0.093242645,-0.55051845,1694889552108
0.9707774,-0.3092184,-0.40650123,1694889552160
1.1467922,-0.5219526,-0.5565349,1694889552213
0.9301487,-0.273592,-0.9004133,1694889552267
0.1454345,-0.16642666,-0.9522416,1694889552318
0.01815617,-0.22588634,-1.081701,1694889552370
-0.05756116,0.05110073,-0.38150355,1694889552422
-0.66392446,-0.041417122,-0.4079942,1694889552475
-0.6103358,0.061211586,-0.3843458,1694889552531
-0.5629549,0.013805389,-0.2738936,1694889552583
-0.56486964,0.089977264,0.103467315,1694889552632
-0.6103971,0.19793415,0.044430017,1694889552684
-0.46319413,0.09369469,0.5807452,1694889552736
-0.6971313,0.16369534,0.7648502,1694889552791
-0.13564694,0.5984993,0.63788354,1694889552843
0.11134374,0.20438194,0.39623052,1694889552893
0.37285435,-0.21020699,0.31319007,1694889552945
-0.17178857,-2.2065382,-0.3461851,1694889552997
-1.7143137,-2.39075,-1.0723509,1694889553049
1.7953092,-0.13282394,1.1966645,1694889553102
0.51963496,0.12907219,-0.1881004,1694889553154
0.36990333,-0.66847515,-1.4074835,1694889553206
0.7805487,-0.81819725,-1.1890421,1694889553258
0.14102095,-1.1766005,-1.2245595,1694889553312
-1.1107945,-0.47234058,-0.076360226,1694889553363
0.2752195,0.17501163,-0.503922,1694889553413
0.1009174,0.5415144,-0.7802824,1694889553465
-0.5604907,0.62776184,-0.16833067,1694889553520
-0.8267481,1.5844069,0.1830492,1694889553571
-0.7528912,1.75944,0.17167044,1694889553620
-0.7674631,1.5594454,0.6048775,1694889553673
-0.5289905,0.727932,1.7609842,1694889553725
-0.6586797,-0.54414845,3.0522397,1694889553776
-0.5939281,-0.06235218,2.5953143,1694889553829
-1.2165619,1.3181205,2.0870476,1694889553880
