x_acc,y_acc,z_acc,time
-0.38273287,0.10838318,-0.121721506,1694890818036
-0.06970763,0.09836769,0.10639596,1694890818098
-0.17455411,-0.0079574585,0.14207053,1694890818133
-0.1797173,-0.06163597,0.21916866,1694890818185
-0.03134656,-0.0037469864,0.10497975,1694890818237
-0.14299226,-0.177804,0.22987008,1694890818292
-0.15536094,0.024923325,0.28409743,1694890818341
-0.14914918,0.0063495636,0.37256122,1694890818394
-0.18217015,-0.19220638,0.33762193,1694890818445
0.023797989,0.013096809,0.6671462,1694890818500
-0.35257244,0.59642696,0.5828849,1694890818551
-0.8480618,2.2442894,1.4806275,1694890818601
-1.480614,4.9957294,1.1050041,1694890818652
2.9279053,3.7794838,-1.5059298,1694890818706
-1.9675465,-1.3183823,-2.064122,1694890818755
-1.9948511,1.0938077,-3.1939163,1694890818808
0.052069902,-0.44437313,0.5927464,1694890818857
1.7107742,-1.2567387,-0.07265353,1694890818908
-1.9924022,-0.68111515,1.5347275,1694890818959
-0.9942306,0.28298283,0.23974589,1694890819010
-1.1700958,0.72191715,0.5107908,1694890819063
-0.5213115,-1.0016575,0.11716272,1694890819115
-1.7963144,-3.7633848,2.518101,1694890819168
-3.669637,-1.6614246,3.9568386,1694890819220
-4.624313,-5.6328144,4.104852,1694890819271
-1.860836,-3.6090794,0.67649007,1694890819323
3.1009068,-1.7246199,-7.802724,1694890819371
5.497835,-5.9176426,-1.9612703,1694890819424
-0.6557727,3.063106,-5.697563,1694890819476
0.22666252,8.17836,-8.702642,1694890819529
3.9790196,5.333391,5.422497,1694890819577
1.0033181,-22.648462,12.042227,1694890819630
1.0105609,1.067771,3.3297977,1694890819683
-0.18504691,0.09010029,-4.5924916,1694890819733
0.30235457,2.1641645,-9.31194,1694890819787
-1.1832346,-2.521779,-6.736177,1694890819837
-8.423428,1.0293732,1.3261751,1694890819886
2.861219,3.3390946,4.1093626,1694890819940
1.8872656,-0.2577076,0.95895576,1694890819991
-3.0032413,-0.061867714,4.9212523,1694890820043
-4.2547126,-3.5220108,1.2653396,1694890820095
-3.0154943,-7.4793434,9.309263,1694890820144
-4.1767306,-0.3841915,0.106530756,1694890820196
-2.2665148,-7.3022127,-4.888274,1694890820250
6.3984947,-10.898968,-5.1664467,1694890820298
2.5975714,1.2925158,-4.9956303,1694890820354
-5.9003057,8.80995,-9.577329,1694890820404
-0.24641103,8.97269,-10.311089,1694890820457
3.18866,8.463767,-2.1022732,1694890820507
6.638941,-33.32584,8.474377,1694890820557
6.429305,6.556135,-3.3456955,1694890820608
0.44194543,-2.5989513,-10.691126,1694890820663
-1.3995694,-3.504672,-11.312569,1694890820713
-3.2644763,-1.547204,-4.132772,1694890820763
3.827935,4.4737225,5.3461103,1694890820815
0.8465521,3.23284,2.7635696,1694890820867
1.9233142,-0.52642345,1.7613392,1694890820918
-7.828017,-3.5973425,4.6862783,1694890820973
-2.0308936,-6.928193,9.570173,1694890821023
-1.8124776,-2.1659431,3.6706464,1694890821074
-5.509649,-6.3391905,-8.448514,1694890821125
8.13438,-13.032759,-5.378028,1694890821177
0.23639965,1.7939277,-7.2906375,1694890821228
-6.6746783,7.633789,-8.2040825,1694890821279
-5.7228146,11.4896145,-12.212735,1694890821331
1.984867,10.408805,-1.1219258,1694890821384
9.71833,-33.697292,10.199568,1694890821431
-3.8818586,17.569542,1.3663101,1694890821484
3.5536337,-8.161223,-19.704184,1694890821562
-1.2493266,-3.7662725,-11.467619,1694890821586
-5.520245,1.5642033,2.1113336,1694890821640
-2.7128088,6.062907,8.619358,1694890821692
1.2520019,3.7240071,3.9974515,1694890821743
1.5970488,1.3026037,1.3801293,1694890821794
-1.5457909,-4.591466,2.6313868,1694890821847
-9.877706,-13.410106,5.8335276,1694890821895
3.5908444,-2.2794895,10.95709,1694890821948
-4.583906,-7.9818296,-7.094345,1694890821999
11.383323,-10.2632,-5.2189193,1694890822051
3.9015718,0.9676385,-5.249353,1694890822103
-7.945256,7.8670464,-9.36483,1694890822153
-3.3830853,15.09508,-10.571813,1694890822205
2.7118807,9.048342,15.442087,1694890822259
18.725607,-50.589886,5.6635246,1694890822309
1.6813216,21.53434,-2.1295524,1694890822359
9.06905,-4.89318,-12.200123,1694890822410
