x_acc,y_acc,z_acc,time
-0.050430536,-0.27734756,0.015529871,1694881542332
-0.002812624,0.10735035,-0.05203688,1694881542388
-0.0025556087,0.10526562,-0.040730476,1694881542446
-0.02053523,0.10721588,-0.017546654,1694881542510
-0.12041378,0.012113571,0.1804229,1694881542573
-0.10325456,0.0048646927,0.1892463,1694881542638
-0.08568549,-0.006303787,0.22070467,1694881542701
-0.11123848,3.9291382E-4,0.2312448,1694881542767
-0.032059193,0.009500504,-0.2545035,1694881542830
-0.042794466,0.013202667,-0.25500798,1694881542894
-0.057798386,0.018435478,-0.25590992,1694881542958
0.014873028,0.12541962,0.046126366,1694881543020
0.012295008,0.12566471,0.049934506,1694881543084
0.030174255,0.11775112,0.06124854,1694881543148
0.28719044,0.04646015,-0.07487476,1694881543212
0.40801907,0.005505562,-0.06673467,1694881543280
0.64175034,-0.069524765,-0.046141386,1694881543342
0.87690425,-0.14460659,0.015425086,1694881543406
-0.4834646,-3.1135168,0.16996098,1694881543470
0.14174008,-3.219699,0.09756732,1694881543534
-0.009848356,-3.1206512,-0.31824052,1694881543598
-0.26245284,2.4906902,0.34502792,1694881543658
-0.57676363,2.7866468,-0.30391002,1694881543723
-0.65433216,2.938508,-0.63946486,1694881543787
-0.16788578,-1.6197786,0.41048598,1694881543850
-0.3592279,-1.4979467,0.29621387,1694881543913
-0.3599677,-1.3588791,-0.004304886,1694881543978
-0.3848462,-1.1689548,-0.35636234,1694881544038
0.3040812,-1.0980549,1.2408085,1694881544106
0.38723898,-1.1097755,1.199585,1694881544166
0.7843094,-1.3392892,1.3247609,1694881544231
-2.5342565,-4.040171,1.437906,1694881544292
-1.7051644,-4.769365,3.0898583,1694881544357
-0.8630183,-5.1023917,4.752464,1694881544420
-1.8718076,-0.72645473,0.7916766,1694881544483
-1.4765494,-0.67147255,1.4983588,1694881544547
-1.7005415,-0.63287735,1.738007,1694881544610
-2.1162136,-0.672781,1.2659973,1694881544671
-1.036491,2.9406652,-4.961873,1694881544735
-1.6187595,3.4778175,-7.0057335,1694881544800
-1.7375323,4.0461025,-8.355213,1694881544864
-1.0554451,-12.2219305,-6.5655456,1694881544926
