x_acc,y_acc,z_acc,time
-4.8441343,-0.35335135,-0.7525711,1694881596293
-4.3507233,-0.2785939,-0.93439007,1694881596347
-3.9506652,-0.18597174,-1.0653152,1694881596410
-2.8958411,0.42874622,0.40769386,1694881596474
-2.8084106,0.6025535,0.36554623,1694881596537
-2.8392258,0.8193297,0.3478546,1694881596603
-2.772052,1.1532116,0.30596352,1694881596665
-0.8983979,-0.41286227,2.4311848,1694881596729
-0.8260708,-0.22570057,2.4157887,1694881596794
-0.7652,-0.4091735,2.4094143,1694881596858
-1.2509758,0.29007846,-1.9984765,1694881596920
-1.2602426,-0.19141638,-1.941524,1694881596983
-1.0376617,-0.19629645,-1.9651179,1694881597047
-0.014705479,-0.09994125,1.7975445,1694881597110
0.13315302,0.04336381,1.7657623,1694881597175
0.21082675,0.24770987,1.7379427,1694881597240
0.35684413,0.39641297,1.7145739,1694881597304
-1.2204785,-0.5624769,-0.7900295,1694881597364
-1.2525473,-0.2548315,-0.8038492,1694881597431
-1.2880495,-0.29543868,-0.8000994,1694881597496
-1.0523169,0.2448026,-1.190074,1694881597557
-1.129341,0.15495235,-1.1799107,1694881597623
-1.1480478,0.1045782,-1.1755056,1694881597686
-0.06484091,-0.2801278,3.0954275,1694881597750
-0.034294486,-0.22069645,3.0898333,1694881597816
-0.041399896,-0.34362897,3.0971088,1694881597878
-0.119865716,-0.101503074,3.0922174,1694881597942
-0.31270045,0.45705122,-1.6615286,1694881598003
-0.3099866,0.5576342,-1.6622124,1694881598064
-0.1551547,0.56915426,-1.6745281,1694881598128
0.36479998,0.6806164,0.36997318,1694881598188
0.40232098,0.53203535,0.37051392,1694881598255
0.3793031,0.74501103,0.36842823,1694881598319
-0.5206595,0.004854966,-0.27675152,1694881598382
-0.5750195,0.059352133,-0.27378464,1694881598446
-0.5369715,0.21806112,-0.27481842,1694881598510
-0.5064357,0.18101713,-0.27701664,1694881598574
-0.67506456,0.7415393,-1.3027611,1694881598635
-0.74915075,0.6362667,-1.2985878,1694881598699
-0.64516366,0.70957685,-1.3044195,1694881598764
-0.34488058,-0.56780267,2.5664282,1694881598823
-0.28886563,-0.45187682,2.5624409,1694881598888
-0.26113975,-0.5826901,2.561925,1694881598954
-0.5673169,-0.17940243,-0.8338947,1694881599016
-0.6079832,-0.21474446,-0.83145714,1694881599083
-0.49600148,-0.25085917,-0.8367386,1694881599146
-0.425188,-0.302724,-0.83888435,1694881599208
-0.35612512,0.90700567,0.05874157,1694881599272
-0.29439992,0.842073,0.058335304,1694881599337
-0.14541833,0.9504677,0.05280018,1694881599400
-0.76095116,-0.4445817,0.46950817,1694881599463
-0.71899134,-0.36197305,0.46728992,1694881599527
-0.6188247,-0.2119766,0.46576023,1694881599588
-0.67363375,0.2150635,-1.8872814,1694881599651
-0.6866637,0.17400937,-1.8866777,1694881599717
-0.68161505,0.074665725,-1.8842106,1694881599852
-0.67846715,0.16664971,-1.8864679,1694881599853
0.038464904,-1.7859784,3.6095276,1694881599907
0.13857251,-1.6142951,3.6031618,1694881599970
0.22494964,-1.5852461,3.6032715,1694881600034
-0.5411406,-1.0351231,1.026969,1694881600095
-0.5412043,-1.106836,1.0284452,1694881600160
-0.53007287,-1.240651,1.0327253,1694881600223
-0.16459805,0.40634426,1.1614981,1694881600287
-0.19544809,0.2605636,1.1696701,1694881600350
-0.19573696,-0.006102979,1.1904287,1694881600415
-0.00985308,0.14611286,1.1796894,1694881600482
-2.1828356,-1.6497196,2.0601835,1694881600542
-2.2139688,-1.4327945,2.045186,1694881600608
-2.1926436,-1.1983019,2.035674,1694881600671
-0.82539976,-0.026105523,-1.4657803,1694881600732
-0.87753767,-0.107200235,-1.46348,1694881600798
-1.0013843,-0.15598348,-1.4632912,1694881600860
0.35453647,0.10339087,6.046295E-4,1694881600922
0.23686492,0.07493198,0.0021677017,1694881600987
0.14478047,0.061613023,0.0036859512,1694881601052
0.16752097,0.037007987,0.0055913925,1694881601112
0.089923956,-0.5548776,-0.014965057,1694881601176
0.06174621,-0.5196554,-0.016925812,1694881601239
0.06483641,-0.7021573,-0.0035581589,1694881601303
0.63146824,0.6214858,-1.640645,1694881601364
0.60466856,0.5505337,-1.634716,1694881601429
0.60884947,0.4499076,-1.625555,1694881601492
-0.41975272,-0.3262487,1.2343397,1694881601558
-0.3105434,-0.065665305,1.2152014,1694881601623
-0.2693424,-0.10778499,1.2185488,1694881601684
-0.18869299,-9.846687E-5,1.2135792,1694881601751
-0.59297407,-0.41256228,-0.83662415,1694881601811
-0.5471476,-0.41531384,-0.8347635,1694881601877
-0.5126821,-0.37873766,-0.83505917,1694881601938
-0.17350322,0.20089072,-0.17969704,1694881602002
-0.15755242,0.12688416,-0.17555046,1694881602063
-0.13034451,0.19279999,-0.17730808,1694881602126
1.0228673,-0.46152028,1.4987335,1694881602189
0.943521,-0.2456353,1.4847031,1694881602256
0.8780844,-0.50544596,1.4986935,1694881602318
0.8526664,-0.26583147,1.4841843,1694881602381
0.15600024,-0.12878579,-0.61813927,1694881602445
0.15100124,-0.07090548,-0.62103367,1694881602509
0.12825848,-0.052337676,-0.6219721,1694881602575
1.0000604,0.77018255,1.5620861,1694881602634
0.8846077,0.5767088,1.5748653,1694881602698
1.0090533,0.4240811,1.5874348,1694881602760
-1.4236413,-2.0360696,4.6485777,1694881602825
-1.3087409,-2.1859598,4.6583204,1694881602891
-1.2929513,-2.0190942,4.6488276,1694881602956
-1.160861,-1.8214959,4.6438932,1694881603018
-0.5211611,0.058084846,-0.7206688,1694881603084
-0.5864916,-0.087112606,-0.7143316,1694881603143
-0.6865454,-0.18424278,-0.7093477,1694881603211
0.2706585,0.14078736,0.5950594,1694881603271
0.23520303,0.14951181,0.59458923,1694881603333
0.17634004,0.2580319,0.5863724,1694881603397
0.78629583,-0.14919174,-0.1449213,1694881603463
0.8350544,-0.029282212,-0.1543932,1694881603527
0.8502268,-0.11579949,-0.14842796,1694881603592
0.86879855,-0.22901165,-0.13941097,1694881603655
0.44807127,0.23245162,-1.3962688,1694881603717
0.45369497,0.18842846,-1.3921232,1694881603784
0.44366997,0.10928321,-1.3840027,1694881603843
-0.16592154,-0.32278997,1.8009815,1694881603905
-0.20279086,-0.1818884,1.7880516,1694881603970
-0.2501795,-0.28344905,1.7980776,1694881604032
-1.0580829,-0.6617075,-0.62557983,1694881604097
-1.0040433,-0.68488884,-0.6241636,1694881604161
-1.0634102,-0.82711494,-0.6102619,1694881604224
-1.1151956,-0.8428118,-0.6078291,1694881604288
-0.1273612,-0.20292318,0.65222454,1694881604353
-0.122219026,-0.055258393,0.6367159,1694881604416
-0.13732399,-0.28261757,0.6616888,1694881604479
-0.17676187,-0.5112608,0.9034004,1694881604540
-0.22926113,-0.5301487,0.9063778,1694881604606
-0.2943444,-0.4072321,0.89412975,1694881604669
-0.0065835863,-0.06993699,-1.24337,1694881604734
0.08245979,-0.12875104,-1.2384815,1694881604798
0.13532381,-0.22155988,-1.2280588,1694881604860
0.17261401,-0.23493731,-1.226634,1694881604926
0.078475505,-0.046637654,1.853941,1694881604988
0.2557782,-0.26523823,1.8781595,1694881605052
0.25569314,-0.099411786,1.8589964,1694881605115
-0.63206816,-0.78278375,-0.6054573,1694881605178
-0.5567615,-0.7721296,-0.60474014,1694881605249
-0.5410788,-0.783227,-0.60329723,1694881605305

