x_acc,y_acc,z_acc,time
-0.29388952,0.017986298,0.056330204,1694881808740
-0.20788193,-0.17163086,-0.07586527,1694881808799
-0.1929493,-0.17930889,-0.071222305,1694881808863
-0.087267876,-0.10111332,-0.031584978,1694881808927
0.02527237,0.011359215,-0.082172394,1694881808993
-0.37647963,-0.17559052,0.24645686,1694881809056
-0.35637474,-0.27810097,0.06760788,1694881809119
-0.29560137,-0.30785942,0.09209108,1694881809183
-0.19487858,1.2817822,-0.023262262,1694881809246
-0.001850605,1.6906619,-0.35135603,1694881809312
-0.7546129,0.7989454,-0.30634916,1694881809374
-0.3308916,0.21147728,0.24927187,1694881809437
-0.66969776,0.42272186,0.2795725,1694881809502
-1.2758584,0.3063345,0.47694898,1694881809566
-1.8822742,-0.34930515,-1.2132124,1694881809632
-1.8132453,-5.5883875,0.13667583,1694881809696
-1.8938911,-5.7102003,-0.32020807,1694881809760
-1.7238216,-5.792305,-0.34909248,1694881809823
-0.0014836788,1.3031511,-0.84291506,1694881809887
-0.04169941,1.3180504,-0.8512571,1694881809952
-0.19517207,1.2879248,-1.1043861,1694881810016
-0.014478445,1.0511551,-1.4713073,1694881810076
-1.7842145,0.22307825,-0.35898352,1694881810142
-2.0695798,0.19832563,-0.6482959,1694881810205
-2.4104116,0.28903294,-0.75000954,1694881810270
4.8610325,-0.7803726,-2.5642195,1694881810332
4.2969313,-0.15800762,-1.294829,1694881810395
3.571467,0.20209694,-0.3401053,1694881810458
0.86249053,3.6103425,1.1573479,1694881810523
0.24449894,3.6473632,1.8761712,1694881810584
-0.058807135,3.6254573,2.3809714,1694881810650
-0.27831808,4.997285,2.1973767,1694881810717
-3.2947724,-3.3036594,-2.7556345,1694881810778
-2.871966,-3.2583284,-3.449939,1694881810844
-1.6277516,-3.462141,-5.152936,1694881810906
-0.14789915,-11.326083,-2.9080136,1694881810967
0.44827557,-11.781112,-3.5800426,1694881811032
0.6784866,-11.851221,-3.5407891,1694881811096
2.9811683,11.045332,-3.8292754,1694881811161
1.8120908,11.32938,-4.1130304,1694881811223
1.537659,10.736292,-5.2473636,1694881811289
2.2732782,10.728022,-4.903134,1694881811352
16.731308,-6.987754,2.8483682,1694881811413
15.585175,-6.040079,4.993764,1694881811480
14.76737,-5.776675,6.6121745,1694881811543
4.176041,4.4978194,1.961283,1694881811607
3.7646377,4.439482,2.574345,1694881811667
3.3916793,4.3697934,2.884824,1694881811731
-6.4302716,-5.9464474,5.540893,1694881811795
-5.013024,-5.9846087,3.6534019,1694881811858
-3.949756,-6.484128,1.9421794,1694881811922
-3.5512784,-6.8496275,1.1641295,1694881811985
0.5951178,8.2863865,-6.115263,1694881812046
0.5257542,8.21632,-6.3087378,1694881812108
-0.23223734,8.584161,-5.8904314,1694881812171
0.8348397,-2.7300978,-2.1655884,1694881812234
1.5557238,-3.0740256,-2.3557558,1694881812297
0.7335161,-2.390213,-1.5598464,1694881812362
-4.7072124,-6.9152727,-2.0181775,1694881812423
-5.2342095,-6.6047525,-0.3913993,1694881812488
-5.9666395,-6.565689,0.76200974,1694881812552
-5.121579,-0.80610657,3.521134,1694881812620
-2.6207075,-1.4045401,3.6016455,1694881812681
-2.1832438,-1.3542976,3.6140695,1694881812742
-1.2430353,-1.2500563,3.15593,1694881812806
-0.6081666,-0.69060516,0.88346404,1694881812866
0.23053145,-1.1704693,-0.80035365,1694881812931
0.65857863,-1.5338707,-1.5358609,1694881812996
1.6760395,12.65974,-4.4306865,1694881813060
1.3985126,12.719507,-4.5224376,1694881813124
0.7655263,13.260275,-3.5704308,1694881813187
1.5967321,12.55514,-4.728181,1694881813251
1.6751379,16.286938,6.5161943,1694881813315
1.2259499,16.744812,7.3571043,1694881813377
-0.048286617,17.406513,9.396498,1694881813442
-9.121363,2.1956172,1.3413422,1694881813505
-9.51757,2.1453872,2.1164463,1694881813569
-9.99283,2.0988612,2.3856747,1694881813634
-4.302021,-0.9743843,1.0035005,1694881813698
-3.802249,-0.9476862,0.9502517,1694881813759
-2.8892155,-0.85314465,-0.4419644,1694881813823
-2.7153802,-4.3428946,-3.1267104,1694881813888
5.3609905,-11.538284,-0.16051841,1694881813953
5.51031,-11.670945,-0.42987657,1694881814017
5.7741785,-11.824573,-0.6522527,1694881814080
2.6297612,7.0745,-1.6639842,1694881814145
3.1764815,6.552434,-2.6214385,1694881814207
3.314811,6.216319,-3.2117696,1694881814271
10.394412,-0.31489372,-1.3618786,1694881814334
9.40523,0.49885273,0.37240076,1694881814398
8.328315,0.84677315,1.9872125,1694881814464
1.3632158,1.7818689,-5.523089,1694881814528
-1.2450328,4.0725703,1.1153376,1694881814592
-1.6502103,3.9799876,1.5483823,1694881814654
-1.8283026,3.9475894,1.612598,1694881814718
