x_acc,y_acc,z_acc,time
0.8848593,-0.50753856,0.16210651,1694881422412
0.9193071,-0.25821948,0.2088108,1694881422484
0.8405045,0.0023514032,0.24775219,1694881422539
0.5676332,0.19142199,1.2927876,1694881422605
0.057287395,0.9639673,0.23135757,1694881422669
0.14125389,0.9247482,0.23234177,1694881422733
0.034220874,0.8436688,0.20381069,1694881422797
0.123401105,0.5371939,0.078419685,1694881422859
0.3507706,0.4777342,0.09160614,1694881422925
0.4546492,0.3760469,0.08587456,1694881422989
0.09825528,0.7289061,0.4119711,1694881423052
0.13576627,0.6636577,0.40669632,1694881423116
0.15025866,0.43339843,0.37465096,1694881423178
0.45154285,-0.13855875,0.015378952,1694881423244
-0.31316376,0.48846966,0.5097437,1694881423308
-0.46499324,0.38937062,0.48295307,1694881423374
-0.51587296,0.33940768,0.47358704,1694881423435
0.27151686,0.3011045,0.12754154,1694881423500
0.19931483,0.2293706,0.11526489,1694881423565
0.18627787,0.17770159,0.11077118,1694881423626
0.21965599,-0.15373904,-0.40015316,1694881423690
0.19035524,-0.068139434,-0.39719296,1694881423753
0.1808371,-0.030135393,-0.3952875,1694881423818
0.16152292,-0.024665594,-0.39663792,1694881423880
0.0489648,0.17668921,0.091137886,1694881423943
0.01017797,0.20412362,0.08991051,1694881424007
0.046028614,0.1869784,0.091656685,1694881424071
-0.6606511,0.4200156,1.0076065,1694881424134

