x_acc,y_acc,z_acc,time
-0.09286022,-0.040319443,0.2197504,1694881475199
-0.121038914,-0.024065018,0.23455405,1694881475258
-0.16024303,-0.0016078949,0.25569797,1694881475320
-0.14205337,1.8345504,0.19989228,1694881475383
-0.3701787,1.931953,0.18680418,1694881475447
-1.0451806,2.1935954,0.21652949,1694881475512
0.04292965,-0.383996,0.35230958,1694881475575
-0.7718775,-0.21196556,0.57594764,1694881475641
-0.7074635,-0.19892883,0.72027016,1694881475706
-0.57221556,-0.26221275,0.42855394,1694881475774
0.44159365,0.5072527,2.3726928,1694881475836
0.5722338,0.36408997,1.9679132,1694881475900
0.8596184,0.34724998,2.100394,1694881475963
1.3839505,1.4555264,0.042443752,1694881476024
1.3161922,1.4972906,0.13586283,1694881476090
1.2290363,1.4885225,0.02382207,1694881476155
-1.481925,0.7379446,2.2889307,1694881476219
-1.2383888,0.5566797,1.9296455,1694881476278
-0.86763954,0.43305683,1.8895934,1694881476343
-1.3273444,0.6989775,2.2873294,1694881476408
-1.2955213,-2.3900576,-0.83281696,1694881476471
-1.7243961,-2.169138,-0.047237396,1694881476535
-1.9649979,-2.0606022,0.7058636,1694881476599
0.36885637,1.1317425,-0.17326692,1694881476662
0.26408345,1.1238241,0.39203915,1694881476728
0.14441836,1.0923643,0.8806102,1694881476793
-0.3089493,-0.360816,0.39688146,1694881476854
-0.46829346,-0.3957281,0.66286814,1694881476919
-0.5502072,-0.39795113,0.69587195,1694881476979
-1.120968,0.0011100769,-0.6047294,1694881477047
-3.6660523,-1.5212402,-1.6087166,1694881477106
-3.191971,-1.5854006,-3.0303454,1694881477169
-2.988225,-1.7430086,-3.98496,1694881477233
0.18459904,-2.4479666,-0.52399564,1694881477298
0.448439,-2.6577654,-1.008266,1694881477364
0.44520986,-2.640318,-0.95801497,1694881477425
0.9770906,3.4704604,-0.6968534,1694881477488
0.68240595,3.6433015,-0.25618124,1694881477553
1.3106866,3.3444724,-0.838449,1694881477615
1.1462916,3.2014494,0.14894557,1694881477679
5.9385366,-13.492656,4.486143,1694881477744
5.190715,-13.037996,5.239832,1694881477807
4.61679,-12.755735,5.961772,1694881477871
1.7381027,1.7652106,0.90261865,1694881477937
1.4688684,1.8353362,1.5267744,1694881477999
1.2175447,1.8605485,1.9946038,1694881478061
-0.12979394,0.85203934,1.0381682,1694881478123
-0.3481734,0.8390608,1.3651855,1694881478186
-0.6123922,0.81039333,1.6978647,1694881478252
0.7452814,0.19443607,1.9006652,1694881478317
-0.08900325,-0.37027073,2.1328254,1694881478377
0.004818365,-0.31232548,1.7556525,1694881478443
0.547338,-0.2558899,1.0525265,1694881478507
5.1288548,1.3052416,-0.53359723,1694881478572
5.440446,1.1529589,-1.432629,1694881478637
6.2316527,0.940258,-1.8943211,1694881478743
1.5842482,2.7864537,-1.2190845,1694881478761
1.6521906,2.7458205,-1.3033161,1694881478824
1.4255179,2.8981814,-0.9353683,1694881478890
0.20756102,2.7814384,-0.6897162,1694881478956
-3.1954322,-1.3113565,3.9131382,1694881479019
-2.2502408,-1.7078724,3.2902203,1694881479081
-2.3209686,-1.7738876,3.035529,1694881479143
5.2147636,-0.77688694,-1.7614102,1694881479207
4.088764,-0.29495335,-1.0468657,1694881479271
3.6028826,-0.033548355,-0.17190337,1694881479335
1.5181277,1.0379229,1.1784903,1694881479395
1.2251537,1.0782547,1.9927412,1694881479460
0.93526465,1.0659599,2.5064526,1694881479528
-0.15632278,1.3703518,1.6527414,1694881479588
-0.7870976,0.778121,1.4739964,1694881479651
-1.0209703,0.7395458,1.7003589,1694881479718
-0.7851511,0.7130327,1.9313976,1694881479779
-0.21982509,-1.6289778,1.4150599,1694881479842
0.7072892,-1.6041679,0.21871664,1694881479904
0.99537843,-1.7413244,-1.1215371,1694881479968
-3.6790895,-0.29090786,-0.44356942,1694881480037
-3.163174,-0.5061035,-0.9397602,1694881480096
-3.0410185,-0.6429825,-1.3013017,1694881480160
-3.2848191,-0.5547695,-1.180491,1694881480226
0.71730876,3.3046331,-0.95416856,1694881480291
0.38895237,3.4109888,-0.6857257,1694881480352
-4.06326,-3.172328,2.6113214,1694881480437
-3.5828905,-3.4562483,2.05375,1694881480479
-3.4533336,-3.5724192,1.8320849,1694881480542
-4.1836743,-3.2210197,2.3814394,1694881480606
0.8558327,-4.7738867,-2.0200684,1694881480669
0.5419813,-4.593872,-1.0857096,1694881480732
0.20486178,-4.5182085,-0.2517891,1694881480796
-1.0507932,1.34414,1.1488702,1694881480860
-1.2350004,1.3192816,1.595062,1694881480921
-1.4632692,1.2732525,1.9981911,1694881480986
-1.7711393,1.2020864,2.3780165,1694881481049
-1.5837653,1.1874352,2.55367,1694881481113
0.37462103,-2.538391,3.013679,1694881481176
0.98540753,-2.4418907,2.110888,1694881481239
1.650872,-2.507307,0.6753636,1694881481304
2.8811657,-2.9542627,-4.1087093,1694881481365
3.4166982,-3.1644735,-4.7389183,1694881481430
3.7642856,-3.3752394,-5.2477827,1694881481492
2.018179,2.3045754,-1.9214585,1694881481555
1.6626105,2.4984689,-1.4889421,1694881481621
1.1607449,2.7066388,-0.89248013,1694881481685
1.3489945,2.630114,-1.1423476,1694881481746
-2.525991,-3.333004,1.4244263,1694881481810
-2.8806581,-3.363844,1.1542182,1694881481872
-2.8411987,-3.2715006,1.4407444,1694881481937
1.6015085,2.1587386,-3.1113276,1694881482000
1.3306311,2.3115249,-2.293663,1694881482064
1.1169244,2.381103,-1.5838387,1694881482128
-2.1806486,0.5157881,0.5235778,1694881482191
-2.1717443,0.5167208,0.8039262,1694881482255
-2.2047455,0.50479794,1.1636661,1694881482319
-2.4334471,0.47420883,1.4786141,1694881482381
-0.74818593,0.17267418,0.26698136,1694881482446
-0.91624796,0.10849857,0.6119616,1694881482509
-0.97069883,0.121806145,0.48477423,1694881482574
-3.0060692,-7.4547386,-4.428701,1694881482634
-2.3640165,-7.401102,-5.5250516,1694881482698
-2.2777119,-7.5104218,-6.716447,1694881482761
-2.7521305,0.1000824,-0.49364185,1694881482824
-2.0887074,-0.025131226,-0.77157104,1694881482887
-1.8057349,-0.09824753,-0.8998841,1694881482951
-1.7439601,-0.103378296,-0.8792778,1694881483016
0.58498925,3.091456,-1.75793,1694881483081
0.13694376,3.2182908,-1.345406,1694881483144
0.34242278,3.1366267,-1.6855516,1694881483208
-4.635654,-2.5459661,1.4158239,1694881483269
-4.5031624,-2.7515783,0.8729398,1694881483330
-4.698221,-2.782652,0.6731608,1694881483393
-0.94381166,-10.2054405,-0.361336,1694881483458
-1.2669398,-9.9722185,0.6834074,1694881483521
-1.7680418,-9.864488,1.747623,1694881483584
-2.1138382,-9.878138,2.6017222,1694881483651
-1.5779254,0.61797714,1.7468809,1694881483714
-1.7849134,0.54803085,2.186746,1694881483778
-1.9960127,0.46484756,2.562043,1694881483839
-3.7394629,-0.6052046,-0.30806243,1694881483899
-3.4320793,-0.51323414,-0.7377533,1694881483964
-2.6466677,-0.4070654,-1.9811103,1694881484027
9.572933,-5.4610624,0.19406319,1694881484090
9.599244,-5.653081,-0.8400706,1694881484152
10.225509,-5.856203,-1.3309106,1694881484217
10.482661,-6.0467167,-1.7861274,1694881484281
2.1670008,4.2811933,-2.527523,1694881484345
1.6691489,4.534637,-1.8908266,1694881484412
1.0374737,4.731153,-1.1809399,1694881484474
-11.1494255,-12.335714,9.185576,1694881484534
-10.608254,-12.595753,8.513809,1694881484598
-10.742813,-12.705614,8.149813,1694881484663
5.201798,1.4588542,-4.908566,1694881484728
4.224878,1.7364774,-3.889002,1694881484792
4.1407423,1.8826556,-2.7130265,1694881484856
3.9079967,1.8910584,-1.8553218,1694881484920
-0.99281836,0.98085403,0.5689496,1694881484983
-1.0944866,0.941309,0.89997256,1694881485045
-1.2132173,0.9125538,1.0501724,1694881485108
-0.66600925,0.48031712,1.0374177,1694881485171
-0.75323373,0.44884872,1.1647406,1694881485234
-0.6002372,0.47818184,1.09158,1694881485296
-6.0694838,-3.6016865,0.7504387,1694881485360
-4.9056363,-3.554757,-0.70264244,1694881485424
-4.6762767,-3.7386103,-2.0101666,1694881485488
-4.456389,-3.9139671,-2.6802988,1694881485554
-1.4287385,-0.14698029,-1.5319856,1694881485616
-1.4450668,-0.2043438,-1.7082754,1694881485681
-1.7035103,-0.033258438,-1.2746214,1694881485747
1.0357876,2.4247942,-0.13639069,1694881485809
0.6432105,2.5191927,0.34569335,1694881485871
1.4925953,2.3940086,-0.10612917,1694881485934
-2.4129157,4.7432165,-1.266012,1694881485997
-2.1546967,4.6560793,-1.3977709,1694881486059
-3.1768749,4.877713,-1.176636,1694881486126
-4.229079,5.106099,-0.24711728,1694881486190
-1.1607404,0.81742764,-0.17295066,1694881486255
-1.4788051,0.8120794,0.5734575,1694881486320
-1.7335234,0.7673578,1.0753894,1694881486384
-1.326545,0.49870396,0.4994914,1694881486447
-1.5916728,0.4085369,0.93838435,1694881486507
-1.8105973,0.3503189,1.1032376,1694881486571
-1.1961961,-2.2702074,2.5525703,1694881486634
-0.5208161,-2.1236382,1.5713693,1694881486697
0.12934673,-2.1717691,0.009159446,1694881486762
0.1447857,-2.35822,-1.0724676,1694881486828
-3.2036572,-0.21652603,-2.0969825,1694881486889
-2.897212,-0.38243008,-2.502852,1694881486955
-3.12462,-0.36780357,-2.521298,1694881487019
1.4748411,4.008404,-0.91251063,1694881487082
1.1036265,4.159137,-0.3267238,1694881487143
1.6533254,4.072283,-0.6590917,1694881487207
0.69029677,-2.3011894,-1.4794195,1694881487269
0.50943136,-2.2148066,-1.2090142,1694881487333
0.2668609,-2.133851,-0.9162495,1694881487397
0.12956344,-2.0704947,-0.63538206,1694881487461
-1.173564,-0.0821352,0.3061483,1694881487524
-1.2703363,-0.055646896,0.46145463,1694881487589
-1.4593043,-0.052900314,0.50755346,1694881487652
-1.2011015,0.60913086,-0.22078907,1694881487716
-0.9944225,0.63256454,-0.104411006,1694881487778
-0.5289587,0.6385355,-0.03929615,1694881487840
-0.77254575,0.52243996,0.33930337,1694881487903
-0.38883877,0.485034,0.30909967,1694881487969
0.30324984,0.35495377,0.114787936,1694881488033
0.5943564,0.27420902,-0.016449928,1694881488097
-0.09938145,0.13163757,0.111364126,1694881488159
0.10984683,0.09343052,0.1666491,1694881488224
0.8591633,-0.11822605,0.19217777,1694881488289
0.08042836,0.17401695,0.9017813,1694881488352
0.019949198,0.18773746,0.86814415,1694881488414
-0.07229304,0.20989227,0.8277116,1694881488476
-2.5542974,-1.5398512,1.3953221,1694881488539
-2.8974178,-1.4618559,1.3361474,1694881488615
-3.3177943,-1.3278809,1.5586003,1694881488664
-3.3431277,-1.2526836,2.0231757,1694881488729
-4.1262016,-1.861268,1.7801509,1694881488792
-3.9754422,-1.8909636,1.804121,1694881488856
-3.7024791,-1.9674387,1.6649525,1694881488920
-0.8298445,0.82954216,-0.17753959,1694881488982
-0.56613827,0.7521248,-0.21232212,1694881489045
-0.55189276,0.7474518,-0.21660024,1694881489109
0.34896302,0.5966377,0.21807706,1694881489171
0.37247062,0.5818281,0.15092838,1694881489236
0.38011336,0.56718063,0.051657796,1694881489299
0.4029982,0.5476942,-0.040972352,1694881489363
0.041315317,-0.16901493,-0.15537214,1694881489426
3.0446053E-4,-0.16236877,-0.19441283,1694881489491
0.009917498,-0.17136192,-0.23370528,1694881489554
-0.14416695,0.030733109,0.27158308,1694881489618
-0.1464355,0.026381493,0.24017632,1694881489682
-0.3313408,0.09463692,0.3272823,1694881489746
0.09745574,1.9082198,0.052132726,1694881489809
0.091538906,1.901978,-0.0023519993,1694881489873
0.070498705,1.9021106,-0.040339112,1694881489937
0.12698126,1.8813243,-0.07322347,1694881490001
0.042099714,0.1978178,0.13281298,1694881490064
0.041971684,0.19582272,0.11985242,1694881490129
0.053857803,0.19033623,0.10657203,1694881490193
0.13310385,-0.5089092,0.3912208,1694881490255
0.13981104,-0.5098591,0.39734232,1694881490320

