x_acc,y_acc,z_acc,time
-0.2129035,-0.27427292,-0.20176637,1694883953931
-0.008276939,-0.18449974,0.15945292,1694883954001
-0.19966722,0.09164238,-0.09927094,1694883954026
0.06563878,-0.46902943,0.055985093,1694883954080
-0.11901975,0.048923492,-0.056084275,1694883954132
-0.17994905,0.04100609,0.059108496,1694883954184
-0.3417523,0.26918316,0.088956356,1694883954236
0.3478818,-0.8142719,0.35370243,1694883954289
0.8666878,1.0109777,0.07095349,1694883954342
0.025102139,2.5089498,0.6940484,1694883954394
-0.7389293,4.8754787,-0.7686273,1694883954446
-0.8854599,-3.346962,0.17096448,1694883954497
0.572531,1.8318605,1.4821322,1694883954553
0.0031147003,-2.4980154,-0.57265425,1694883954604
0.5668266,1.3778386,-0.89493454,1694883954654
0.6033213,-2.492034,-0.43531573,1694883954707
-0.85268164,-2.8251476,0.3149804,1694883954759
-0.89823246,-3.5372543,0.79026294,1694883954814
0.54965377,0.1666069,0.16697288,1694883954864
-0.47451615,0.40185452,-0.72824746,1694883954917
-0.11363292,0.45036888,-0.5620272,1694883954967
-1.0362235,-0.07874489,-0.78882205,1694883955020
0.70092624,-0.15598965,-0.83412105,1694883955073
0.42884326,0.22309971,0.3683406,1694883955125
0.11302626,0.287014,-1.0973154,1694883955176
-1.1028755,-0.12952518,-0.2956628,1694883955230
-0.6390984,0.71973705,-0.92405933,1694883955280
-0.07238901,0.51021767,-0.2223989,1694883955334
-0.38368386,-0.046430588,0.40668243,1694883955385
-0.47581398,0.17255116,-0.05080098,1694883955438
-1.416723,0.061070442,0.31090748,1694883955491
-1.4957262,-0.08178234,-0.32539356,1694883955542
-2.7788348,-0.0185318,0.18431103,1694883955596
-3.2861745,-0.86209965,1.8194923,1694883955647
-3.776997,-2.9662857,0.6534036,1694883955701
2.982256,-1.0409536,1.6796277,1694883955750
7.2753773,-4.940957,0.45572388,1694883955805
2.3425326,-3.8038807,-4.1075106,1694883955858
-1.801399,1.2455883,-1.5061014,1694883955910
0.30580258,2.790039,-1.8191187,1694883955960
2.5198488,4.885917,-2.5535123,1694883956013
2.845888,3.9501452,-2.5440848,1694883956066
1.0724094,3.1699271,0.11561608,1694883956114
-2.6826086,-1.5911331,6.5033855,1694883956170
-5.30768,-12.027573,6.6670227,1694883956219
1.0752132,6.2153044,1.4589906,1694883956273
-5.5428014,-10.564367,-6.920451,1694883956322
14.021331,1.3780284,4.8202014,1694883956374
4.970332,1.3613243,-10.194997,1694883956426
-3.996208,-5.36854,-2.4068565,1694883956478
1.457836,1.2930422,-1.1402047,1694883956529
-0.45237136,2.124362,-0.7518185,1694883956582
-1.5860872,1.936521,1.5227823,1694883956633
-0.23462093,1.69557,0.8200077,1694883956686
-2.192729,0.7150774,1.2456756,1694883956740
-2.0183809,-0.09368324,2.3013544,1694883956792
-2.819707,-0.07182503,0.6953953,1694883956842
-3.5126154,-1.549223,0.059773922,1694883956895
-2.3406904,-4.8954897,2.511942,1694883956949
-4.8821106,-2.9028254,2.109532,1694883957000
1.3656436,-1.1169796,-1.0865766,1694883957050
8.270442,-8.8805065,-0.96833456,1694883957102
0.3585844,0.8863745,-3.7581844,1694883957152
-0.988291,1.6968689,-3.9829714,1694883957204
2.0843177,4.291011,-3.703342,1694883957256
3.8017814,4.680785,-4.202578,1694883957310
2.0707276,4.1257973,-0.48292518,1694883957361
-0.16536236,1.472703,5.4092627,1694883957414
-10.547857,-17.636862,11.8921,1694883957501
2.9599333,6.45682,0.35150433,1694883957516
4.375242,0.6911011,-5.879509,1694883957567
-0.27950644,-20.648743,0.111083984,1694883957619
7.7697124,5.861438,-5.4119015,1694883957672
-0.35697103,-4.6434164,-3.8792367,1694883957722
-0.059386253,1.4238043,-0.72897404,1694883957775
3.3929791,3.2291903,0.9923453,1694883957828
-0.9116725,1.3919792,1.1115084,1694883957878
-2.5310988,0.13151741,0.35683334,1694883957929
-2.3658683,0.3409109,2.4684448,1694883957981
-1.0907756,-0.17875862,0.50635874,1694883958034
-3.8092098,-1.4422913,1.108287,1694883958086
-1.3357327,-1.8906755,3.2705734,1694883958140
-3.693788,-5.2968817,2.1000228,1694883958191
-4.1619897,-1.2669983,-0.9346077,1694883958243
7.4333735,-7.4957952,-2.4358368,1694883958296
2.4222517,-4.460844,-1.8120235,1694883958348
-0.923599,2.1641507,-2.950535,1694883958402
3.471382,2.086399,-4.3379464,1694883958455
4.382313,4.9677916,-3.8250222,1694883958505
3.0799236,4.735958,-4.4356923,1694883958559
1.7287802,4.007282,1.994798,1694883958609
-4.5675635,-2.292305,9.693659,1694883958660
-6.967304,-16.003202,3.5494149,1694883958711
4.374938,10.638619,4.9732757,1694883958764
6.04239,-10.62236,-5.6661696,1694883958815
3.4913254,1.732471,-4.178962,1694883958867
4.6979146,1.7686553,-6.337085,1694883958921
-3.3946414,-3.5143547,-1.6610577,1694883958978
3.5727797,4.0063524,2.0982394,1694883959027
-0.54348993,2.4389281,1.511026,1694883959076
-2.0735564,-0.3438387,0.9211317,1694883959128
-3.0251944,0.29672527,1.5577765,1694883959184
-2.632782,-1.0875006,0.8631415,1694883959237
-3.7226758,0.09848213,-0.090548515,1694883959284
-4.2639804,-2.7549334,0.39805102,1694883959336
-1.5627874,-4.3517685,3.6223311,1694883959390
-4.2595124,-0.7027807,0.37071294,1694883959440
6.9198413,-7.930439,-3.7446098,1694883959492
7.6479564,-6.6344376,0.70223284,1694883959544
-1.806124,2.2788892,-2.7007995,1694883959596
1.0223973,2.9328275,-4.1500993,1694883959647
4.1918416,4.704275,-5.075926,1694883959698
5.2147245,4.615388,-4.3095355,1694883959752
3.0478106,4.959814,0.30571103,1694883959804
-8.358953,-13.254647,12.540707,1694883959854
1.2136027,-4.089637,1.5021398,1694883959907
1.9424657,13.352284,4.069826,1694883959961
10.918622,-13.131291,3.7502081,1694883960011
4.3418317,2.4455175,-7.847,1694883960062
1.1020666,-4.2134886,-2.7011368,1694883960113
-6.371899,-2.165842,-1.2783774,1694883960168
