x_acc,y_acc,z_acc,time
-0.46494722,0.7079501,-2.840713,1694884219955
2.1198225,0.07618594,-2.769071,1694884219988
0.84494925,-2.9856472,1.4198828,1694884220035
1.1953895,-1.2772268,2.368369,1694884220089
-1.4890938,-0.5829663,-1.939857,1694884220140
-0.07970762,-0.32720828,-2.9615388,1694884220200
2.84321,-1.6871059,-3.724576,1694884220240
1.1980076,-6.2082224,-2.9288568,1694884220302
0.90522194,-3.018036,-5.91739,1694884220344
-4.833326,-2.2420342,-0.043768883,1694884220396
-9.186077,0.34704828,-2.347096,1694884220447
-10.203064,0.44595575,2.3903508,1694884220499
-7.14129,1.0034804,1.534907,1694884220549
-6.05164,2.9804397,2.0962338,1694884220603
-0.701684,3.7026978,0.35737962,1694884220654
6.1735,5.2073646,17.670597,1694884220704
0.8314953,4.2337794,0.45989105,1694884220756
0.83823395,1.4526572,-0.31569153,1694884220808
-1.8725405,2.1121664,0.1573611,1694884220860
3.9792237,1.9878397,0.86464584,1694884220914
-1.0868092,1.2147985,-1.2379334,1694884220965
-3.7002273,-0.81572676,0.7997268,1694884221015
0.8704448,0.104418755,0.9453596,1694884221067
-2.6408672,-2.2820282,-2.3716345,1694884221119
-0.5835271,0.14280224,-1.6117033,1694884221169
-0.79523754,-12.504065,-7.1211185,1694884221221
-0.13286304,-1.3200622,-2.4024804,1694884221271
2.2841566,4.2353816,-2.8748682,1694884221323
1.449434,9.776048,-3.2668128,1694884221374
1.5333786,5.9045935,-0.10596609,1694884221427
-1.6925907,-12.542149,7.192362,1694884221477
-5.062419,-2.5927296,2.225721,1694884221530
1.8427515,-3.4695249,5.441752,1694884221581
10.027835,4.6174793,-5.621035,1694884221635
3.4253626,2.718398,-11.854197,1694884221686
0.4089527,-0.53617096,-3.122286,1694884221737
0.08216512,-12.853023,-1.8580407,1694884221788
1.2631991,1.8349724,5.7753873,1694884221840
2.4157386,0.70295334,0.5224628,1694884221890
-3.3501024,1.4695368,1.6711572,1694884221943
-6.355089,-4.5553293,-2.9245927,1694884221996
