x_acc,y_acc,z_acc,time
-0.08091235,-0.064665794,0.03677678,1694884370096
0.025935411,-0.009516716,0.006563425,1694884370153
-0.12744117,-0.2577381,-0.052806377,1694884370199
0.110043526,-0.1839571,0.014600277,1694884370252
-0.055312157,-0.27068806,0.111774206,1694884370305
-0.009106398,0.26440525,-0.3387004,1694884370355
0.16308498,-0.029288292,-0.24245024,1694884370405
0.20341277,-0.29380417,-0.2780962,1694884370457
0.30256987,-0.17990303,-0.18628812,1694884370509
0.86385083,-0.44652367,-0.16560602,1694884370565
0.3059156,-0.9377632,0.45334005,1694884370616
-0.5544474,-0.17016411,0.6017306,1694884370667
0.24536777,1.5514679,0.33250237,1694884370716
0.29694438,1.425705,0.7059444,1694884370769
-0.4752977,0.89979553,0.91865206,1694884370822
-0.7200172,-1.3339119,1.1345578,1694884370874
0.46740174,3.7350397,1.7938666,1694884370925
-2.7073803,-0.8436346,-0.4784203,1694884370977
1.2877083,3.1203442,3.5031462,1694884371029
0.8293965,1.5480127,-0.054153323,1694884371081
3.7837112,1.0177188,-0.4832859,1694884371130
1.4492873,-1.121625,-4.257303,1694884371182
-2.8153403,-7.4691706,-0.44771504,1694884371235
-1.8047488,-2.0829258,-0.23029086,1694884371285
0.25588906,4.1426573,-1.261252,1694884371336
-2.6941042,0.24101734,0.37565592,1694884371388
0.5766041,0.93293667,0.39602047,1694884371442
-0.40994155,2.0214834,0.7806235,1694884371493
0.76448214,3.3617606,-0.5191522,1694884371544
-0.67742527,-1.3194761,-0.45124376,1694884371597
-1.931449,-1.201066,1.0686582,1694884371647
-0.32888475,-4.017996,0.5257341,1694884371698
-1.0938735,-9.417277,1.9361039,1694884371750
-0.10472821,-3.2589197,2.2127242,1694884371805
2.3728285,-6.0961294,0.89789236,1694884371854
3.0787115,-4.564868,-2.2655878,1694884371906
-4.140325,-1.5810747,-2.1739364,1694884371957
3.6402788,3.1052709,-3.07053,1694884372012
1.0473936,5.6646357,-4.0465097,1694884372062
3.400199,4.0131927,-5.0369916,1694884372113
4.605466,3.071309,-4.3892417,1694884372165
3.4191866,3.2447186,-2.3998597,1694884372215
0.26623583,-19.713068,-10.30346,1694884372267
1.5259671,3.0942688,-3.7391102,1694884372320
