x_acc,y_acc,z_acc,time
-0.11131811,-0.086073875,0.082404375,1694884015669
-0.047593355,0.1123476,0.04923582,1694884015712
-0.11615467,0.842185,0.12044394,1694884015757
0.071101665,1.5730214,0.47669756,1694884015810
-0.04587698,1.6057901,0.3812306,1694884015863
-0.1340096,1.0602703,0.49617696,1694884015915
-0.5843494,0.91362953,-0.46752152,1694884015967
0.79588175,-0.18704605,0.041494012,1694884016019
-0.13359284,-0.08044815,0.6069422,1694884016070
-0.149153,-2.5437088,0.20490539,1694884016122
-1.2476194,-0.60388184,1.1990278,1694884016178
0.047706366,0.85580826,0.258363,1694884016230
-0.33025408,-0.09024143,0.6769911,1694884016282
0.071712494,0.32877064,0.7212446,1694884016334
0.25733137,2.424749,0.0203017,1694884016386
0.5830182,2.7361584,0.6969783,1694884016441
0.36769605,-2.1892633,0.39699924,1694884016492
-0.38618124,-2.592595,-1.5656282,1694884016542
-1.7559559,-1.7948399,-1.5758274,1694884016594
0.788602,-1.3372946,0.10603307,1694884016648
0.71065843,-0.4926653,-0.9214929,1694884016700
1.4883007,0.33903217,-1.0409747,1694884016749
0.069155335,-0.066269875,-0.20679617,1694884016802
0.24713635,0.13581848,-0.2188558,1694884016853
0.33633947,0.39973164,0.34352255,1694884016904
-0.6439467,-0.003698349,0.56425905,1694884016958
-1.0412413,0.5073767,0.97734773,1694884017012
-2.397135,0.3457756,1.5710883,1694884017061
-2.66641,0.28275204,2.5174603,1694884017113
-2.7762556,-1.068985,2.0344534,1694884017168
-2.3523183,-1.0640812,-1.631062,1694884017219
4.3371906,-1.7778511,1.9597793,1694884017268
1.2446378,-11.451928,-1.7311046,1694884017321
-0.3321079,0.023950577,-2.1017015,1694884017374
1.1860695,0.39950848,-1.6129935,1694884017428
2.8099532,0.01596737,-2.0760405,1694884017478
2.2085593,1.3308802,-2.2358894,1694884017532
1.4570377,1.8188567,-1.706963,1694884017584
0.64639354,1.6332741,-0.9737828,1694884017636
-0.36762404,1.1503515,0.9321537,1694884017687
-2.5451112,1.0034046,2.8078191,1694884017740
-4.6274195,-2.1871738,3.5294657,1694884017790
-0.59503984,2.5542006,1.5675294,1694884017841
3.828786,-12.752461,-1.6571178,1694884017893
5.8040805,2.0127397,-3.659354,1694884017946
3.4462762,7.2495556,-5.6666236,1694884017997
0.65891737,-5.103587,-4.2237873,1694884018050
2.531743,2.482933,-0.07600367,1694884018103
1.4814644,1.7813435,-0.5768261,1694884018153
-2.1505442,-0.31887054,0.26976806,1694884018208
-0.9586908,1.2303724,0.7916316,1694884018257
-1.265802,0.35329247,0.48648208,1694884018312
-0.5483517,0.688735,0.8004069,1694884018364
-0.35293806,0.15097713,1.2524993,1694884018413
-3.015708,0.0053224564,1.1117686,1694884018466
-1.2873386,-2.2924051,0.23850787,1694884018516
-0.7720205,-4.13513,2.1318815,1694884018569
-4.6432686,-3.4627829,1.7255676,1694884018620
3.1036108,-1.1580753,-0.016108751,1694884018675
5.446433,-3.5927353,-0.12604511,1694884018725
-1.6765933,0.5245476,-2.4966953,1694884018778
0.83199906,1.3536377,-2.848988,1694884018831
1.3433192,0.9575863,-1.5143554,1694884018882
2.731784,2.5827441,-1.9759586,1694884018935
1.8474979,3.4418874,-1.8248341,1694884018987
1.1821849,3.2018719,-1.1006795,1694884019043
-1.8169202,1.471262,2.7351727,1694884019092
-6.9133625,-6.27485,8.773907,1694884019140
-1.138758,-1.5282049,2.9499412,1694884019194
-0.2648306,7.6384335,1.748766,1694884019244
1.2671378,-13.702206,-3.7933607,1694884019297
5.03071,5.392854,-7.0807433,1694884019348
0.6148087,-6.135133,-1.820198,1694884019401
-3.4561255,-0.5928087,-0.91576713,1694884019452
1.698147,2.8003898,-0.029580235,1694884019508
-1.9449136,-0.27418232,0.07649544,1694884019558
-1.0493588,0.2212658,1.0146916,1694884019612
-0.9186771,0.1757431,1.3965571,1694884019663
-1.3427175,0.3771429,0.65448433,1694884019717
-0.8928784,-0.20896721,1.6072019,1694884019766
-2.8174496,-1.0987234,2.0949407,1694884019819
-4.565155,-0.42592716,1.1758473,1694884019872
0.06177637,-4.270048,2.7557888,1694884019924
-3.8487184,-1.9688187,-1.1829567,1694884019975
6.4300404,-3.2691545,-0.025035143,1694884020025
6.122178,-3.7486105,-1.2009978,1694884020077
-2.0046244,0.24979782,-1.4545447,1694884020130
1.6507084,0.3140068,-1.6847749,1694884020182
2.4789922,1.2768259,-1.3603961,1694884020235
3.2716243,2.3290644,-2.372573,1694884020289
1.5333637,2.9954257,-1.6373318,1694884020342
-0.094436765,2.9483109,0.25072026,1694884020393
-2.3570182,1.6139469,1.8598061,1694884020443
-6.253684,-5.2225637,7.5428686,1694884020496
-1.9876647,0.35654163,2.1146762,1694884020550
2.8609927,-0.7329321,-1.3689696,1694884020599
3.6824162,-15.797301,7.6198845,1694884020653
6.3232646,7.3211536,-4.278153,1694884020703
-1.2528834,-5.976022,-1.612365,1694884020755
0.30444038,1.6434174,0.32119042,1694884020808
1.3945525,2.2594275,1.0748395,1694884020860
-2.2976623,0.533308,0.60624784,1694884020917
-1.9260093,0.3657446,1.2545785,1694884020967
-1.4121547,0.61366177,1.2697856,1694884021017
-0.63260525,0.59191895,0.9941814,1694884021070
-0.36760128,-0.28584862,1.5272201,1694884021122
-3.5699453,0.087325096,-0.42487788,1694884021175
0.261752,-2.781949,3.5631232,1694884021225
-2.763661,-4.4518166,2.1965604,1694884021275
-5.6907234,-3.7672148,0.27783376,1694884021326
5.3988943,-0.5342846,0.4437201,1694884021379
1.6710632,-2.9116545,-1.3541559,1694884021432
-2.6225624,0.120233536,-1.4482436,1694884021485
0.07783747,1.0416622,-2.3971326,1694884021537
2.0598452,1.8110566,-0.924273,1694884021588
2.2625797,2.5283756,-2.009426,1694884021641
1.694939,2.783853,-1.6689913,1694884021694
0.6137247,2.9063396,-0.26718903,1694884021747
-2.3133793,0.5029526,2.2473845,1694884021802
-6.1319904,-5.0709333,7.624818,1694884021848
-2.4117632,0.44758415,1.4086323,1694884021901
0.9163563,5.1007524,-1.8424401,1694884021952
5.3068247,-10.921093,-6.082966,1694884022004
4.1399426,6.346937,-5.56516,1694884022057
-1.0061626,-5.456465,-2.7556853,1694884022110
-2.7380402,-1.2775002,-0.18639892,1694884022161
1.767845,2.2292972,-0.27246034,1694884022212
-0.37241268,0.080019,0.055970028,1694884022265
-1.2215536,0.3339262,1.0252138,1694884022318
-1.336175,0.8262081,0.43297058,1694884022372
-0.2260403,0.46337223,0.46160692,1694884022424
-0.5432856,-0.95974827,1.6827964,1694884022476
-3.2968793,-0.80404186,0.99034387,1694884022527
-2.685268,-1.9009533,0.7173388,1694884022575
-1.3539019,-3.526102,2.3507454,1694884022628
-2.1603525,-1.9015026,0.047798872,1694884022679
5.760625,-0.78120136,0.14714596,1694884022732
6.142361,-3.062623,-1.2180377,1694884022785
-2.5804477,0.28117275,-1.5326198,1694884022840
0.910741,1.1394358,-1.1221073,1694884022890
1.1931736,0.92179203,-1.056612,1694884022942
2.2347198,2.1008472,-1.3680034,1694884022997
1.3634431,2.905745,-1.3468909,1694884023050
-0.48104692,2.5522695,-0.37446237,1694884023099
-1.8799658,1.3455935,1.8408953,1694884023155
-4.3445687,-2.2997427,5.9659433,1694884023204
-4.7086077,-5.202032,5.768633,1694884023255
3.3790507,-7.652337,0.6193812,1694884023308
5.0712795,-3.8079014,1.6731598,1694884023359
4.6641665,7.7747154,-4.391454,1694884023412
1.3495735,-3.6517954,-3.6100001,1694884023464
0.42718345,1.6114578,-0.22026652,1694884023517
0.26142663,1.6953182,0.2796567,1694884023569
-1.3645978,-0.080794334,0.46312022,1694884023621
-1.1615417,0.1410141,0.63917196,1694884023674
-0.74318063,0.5709095,0.888309,1694884023726
-0.9212152,0.59495735,0.37357777,1694884023777
-0.42190605,0.09042835,1.3134131,1694884023830
-3.2627091,-0.7293997,0.14326334,1694884023880
-0.17359781,-1.5182362,2.5527778,1694884023931
0.18000734,-2.8460035,5.5758348,1694884023982
-4.34564,-5.3443766,-1.4495393,1694884024034
4.754389,0.64183617,0.81336254,1694884024086
0.67708254,-2.2245016,-1.1545146,1694884024138
-2.9369118,-0.85862446,-2.7483459,1694884024189
1.4637986,0.09733868,-0.25953972,1694884024241
0.7083721,1.3387556,-1.6862648,1694884024295
0.6622936,2.423252,-1.3174324,1694884024345
0.6319425,3.4865527,-0.85852015,1694884024401
-0.09496983,3.3037605,0.19857585,1694884024452
-1.5950752,1.5487871,1.772987,1694884024505
-4.9798713,-2.8514595,5.1832533,1694884024553
-1.8916459,2.3673449,0.8033931,1694884024608
7.1239963,-19.610897,-0.32351995,1694884024659
6.7257266,10.164012,-0.041282892,1694884024713
1.5801047,-12.746974,2.7300715,1694884024762
-0.00621628,1.195507,-1.980016,1694884024814
2.9117355,2.9587936,0.76189375,1694884024865
-0.52122885,0.30333328,-0.4922101,1694884024918
-0.6259992,0.47626972,0.79979277,1694884024969
-0.65118307,0.6884146,0.36541617,1694884025020
-0.35956693,0.33936596,1.089002,1694884025071
-0.42452133,0.7240114,1.5019994,1694884025124
-4.675744,-0.83664894,1.1084611,1694884025176
-3.4501765,-0.7935915,1.9597437,1694884025228
-0.43595505,-2.1120672,3.6669977,1694884025280
-2.0843968,-2.660554,-0.4158495,1694884025332
5.809674,-4.934165,-1.7178401,1694884025383
2.70737,-2.3231697,0.1574887,1694884025437
-0.1253014,0.18958855,-3.2001586,1694884025488
-0.241673,0.34510326,-2.3202124,1694884025540
2.9170299,2.0368333,-2.162783,1694884025592
3.5449476,3.0462837,-2.6815991,1694884025643
0.7584149,3.606689,-2.17732,1694884025696
-0.5540862,2.9211612,0.69959784,1694884025748
-6.5615125,-2.2700357,6.687658,1694884025800
-4.75235,-6.166645,6.659524,1694884025851
1.16347,3.4616747,1.4679868,1694884025903
6.099343,-15.509958,-1.5451787,1694884025956
2.0986514,6.967183,-7.565687,1694884026008
2.2328994,-6.245861,-1.8270835,1694884026059
-3.030086,-2.8485003,-1.557998,1694884026115
3.359904,2.020996,0.1580661,1694884026168
-1.3970753,0.6398535,0.033642307,1694884026216
-2.3021765,0.08085632,0.0025721788,1694884026268
-1.1312746,0.47767258,2.06852,1694884026320
-1.3176903,-0.0053215027,0.32670188,1694884026372
0.45220304,-0.25198078,1.647358,1694884026426
-2.3801215,-1.3775702,2.3002675,1694884026477
-3.768613,-0.68008804,1.5798978,1694884026531
-0.9165977,-1.879426,2.4970453,1694884026581
-5.529361,-3.0623121,-0.16238356,1694884026632
4.323567,-2.1748714,-1.3151815,1694884026684
8.559578,-4.4392996,-1.5309645,1694884026735
2.2841535,-0.44755936,-1.0574656,1694884026788
-0.6436409,0.39399624,-2.4388819,1694884026841
1.8612893,1.0255575,-1.541446,1694884026891
3.1012123,2.5178456,-2.0505252,1694884026944
2.5736403,3.596665,-1.8768551,1694884027001
0.33767447,2.6446223,-0.34184313,1694884027050
-1.2051399,2.061203,1.8132515,1694884027101
-4.93814,-2.5396109,5.917369,1694884027153
0.75092375,-5.359316,3.3320012,1694884027205
-0.052190304,6.0160875,2.3634305,1694884027256
0.15808848,-10.369441,-5.946212,1694884027308
2.4209776,2.3199215,-3.908384,1694884027361
5.825535,7.0377407,-4.182772,1694884027414
-3.071252,-1.6591501,-1.1074789,1694884027466
1.5613806,2.1789842,0.7527381,1694884027516
-0.6116849,1.1736078,0.33072206,1694884027569
-1.5704756,0.29442406,0.88938296,1694884027624
-1.2609074,0.21025658,1.0871018,1694884027673
-1.4227909,0.23307991,1.0930327,1694884027728
-0.4553473,0.6074524,1.0944383,1694884027780
-1.5833564,-0.84031105,1.7578529,1694884027829
-2.8486624,-0.9334116,0.11089635,1694884027882
1.7665931,-2.399622,3.2373395,1694884027932
-0.4049896,-4.7891273,2.2780657,1694884027985
-3.6762593,-1.7199392,0.21502836,1694884028038
8.570314,-2.7648191,-1.6921375,1694884028089
2.9493217,-2.1771002,-1.6188549,1694884028141
-0.55836725,-0.07608509,-1.7807432,1694884028193
0.3213919,0.60196495,-1.4333758,1694884028248
2.1612327,2.5266533,-1.7694923,1694884028297
1.2929118,3.711738,-2.0283556,1694884028350
0.15048094,3.6841397,-1.7702211,1694884028404
-0.64423376,3.2616987,0.6378448,1694884028457
-4.256862,-6.2348204,8.612721,1694884028510
-3.0046337,-5.9667664,4.298129,1694884028560
-1.2737962,5.3452024,0.7046201,1694884028612
2.2035327,-8.99095,-1.3542914,1694884028664
4.2840877,6.0923815,-5.543886,1694884028718
0.4690057,-4.216735,-2.1733708,1694884028772
-3.9954515,-2.154789,-1.243441,1694884028820
1.2117037,2.3901348,0.37531024,1694884028876
-2.0476966,-0.11573696,0.10781771,1694884028924
-0.65456593,0.9517517,1.2457813,1694884028979
-0.47149634,0.29067326,1.0636305,1694884029030
-1.0715476,0.7203474,0.6524675,1694884029086
-1.0444523,-0.7962589,2.0415,1694884029136
-2.8965,-0.63432217,1.1516335,1694884029188
-3.0426111,-2.5514545,0.3641305,1694884029239
-0.30687523,-5.4179487,2.5965123,1694884029293
-0.54927427,-0.45917892,-0.42804,1694884029344
7.16817,-1.6562214,-0.92155373,1694884029394
4.8202715,-2.5006695,-1.4701518,1694884029446
-1.2476531,0.10395908,-1.3969309,1694884029498
0.7460595,1.4622879,-1.7724534,1694884029549
2.627352,2.7679791,-1.6710597,1694884029601
1.3691196,3.1805754,-1.9650483,1694884029654
-0.1528993,3.3520803,-1.2272495,1694884029706
-1.7840171,2.6448689,1.7289202,1694884029757
-4.746926,-4.033146,7.5838947,1694884029810
-4.4908834,-9.712939,6.6871395,1694884029859
-0.5916254,7.544389,-0.15709662,1694884029912
5.812148,-10.858695,5.101154,1694884029963
5.3558435,8.671823,-3.7111428,1694884030014
2.4049432,0.67376137,-4.0538054,1694884030066
-4.5313272,-1.525773,-0.77662027,1694884030122
1.4211936,2.7709708,0.8073086,1694884030173
-1.7642313,-0.2894001,-0.36388156,1694884030224
-1.2420931,0.2885437,1.40077,1694884030273
-0.77233005,0.24903679,1.2355902,1694884030325
-0.47958422,0.62678814,0.68160117,1694884030380
-0.5929065,-0.5214634,2.1005683,1694884030431
